ML Model,XAI Method,Feature Name,Importance Value (Signed),Importance Value (Absolute),Feature Ranking
SLP,LIME,Max Packet Length,-0.0950506820521665,0.0950506820521665,5
SLP,LIME,Flow IAT Mean,0.06487961993206542,0.06487961993206542,6
SLP,LIME,Init_Win_bytes_backward,-0.03816622430557678,0.03816622430557678,7
SLP,LIME,Flow IAT Max,-0.02820928315529797,0.02820928315529797,8
SLP,LIME,Avg Fwd Segment Size,0.027681678035400364,0.027681678035400364,9
SLP,LIME,Bwd Packet Length Mean,-0.019724494321528584,0.019724494321528584,10
SLP,Saliency,Avg Fwd Segment Size,357.2591552734375,357.2591552734375,1
SLP,Saliency,Min Packet Length,140.8557891845703,140.8557891845703,2
SLP,Saliency,Average Packet Size,111.2327651977539,111.2327651977539,3
SLP,Saliency,Flow IAT Mean,81.85850524902344,81.85850524902344,4
SLP,Saliency,Packet Length Mean,63.61149597167969,63.61149597167969,5
SLP,Saliency,Max Packet Length,38.342628479003906,38.342628479003906,6
SLP,Saliency,Flow IAT Max,35.30710983276367,35.30710983276367,7
SLP,Saliency,Bwd Packet Length Mean,29.304597854614258,29.304597854614258,8
SLP,Saliency,Init_Win_bytes_backward,18.77189064025879,18.77189064025879,9
SLP,Saliency,Bwd Packet Length Max,2.8348093032836914,2.8348093032836914,10
SLP,DeepLIFT,Min Packet Length,7.891441345214844,7.891441345214844,1
SLP,DeepLIFT,Avg Fwd Segment Size,-3.050306797027588,3.050306797027588,2
SLP,DeepLIFT,Bwd Packet Length Mean,1.3547873497009277,1.3547873497009277,3
SLP,DeepLIFT,Packet Length Mean,1.2543175220489502,1.2543175220489502,4
SLP,DeepLIFT,Average Packet Size,-1.0272760391235352,1.0272760391235352,5
SLP,DeepLIFT,Max Packet Length,0.3223491609096527,0.3223491609096527,6
SLP,DeepLIFT,Bwd Packet Length Max,-0.13491736352443695,0.13491736352443695,7
SLP,DeepLIFT,Flow IAT Max,0.008800926618278027,0.008800926618278027,8
SLP,DeepLIFT,Flow IAT Mean,-0.0042660655453801155,0.0042660655453801155,9
SLP,DeepLIFT,Init_Win_bytes_backward,0.0,0.0,10
SLP,IG,Min Packet Length,7.821390571664658,7.821390571664658,1
SLP,IG,Avg Fwd Segment Size,-3.0452389655477714,3.0452389655477714,2
SLP,IG,Bwd Packet Length Mean,1.3389809534771802,1.3389809534771802,3
SLP,IG,Packet Length Mean,1.252556509695172,1.252556509695172,4
SLP,IG,Average Packet Size,-1.0369768650398836,1.0369768650398836,5
SLP,IG,Max Packet Length,0.3187748501427719,0.3187748501427719,6
SLP,IG,Bwd Packet Length Max,-0.1336144683936936,0.1336144683936936,7
SLP,IG,Flow IAT Max,0.008813431101415074,0.008813431101415074,8
SLP,IG,Flow IAT Mean,-0.004269329424552803,0.004269329424552803,9
SLP,IG,Init_Win_bytes_backward,0.0,0.0,10
MLP,SHAP,Average Packet Size,14.46763801574707,14.46763801574707,1
MLP,SHAP,Packet Length Mean,-13.979500770568848,13.979500770568848,2
MLP,SHAP,Min Packet Length,2.9258921146392822,2.9258921146392822,3
MLP,SHAP,Flow IAT Max,-2.275392532348633,2.275392532348633,4
